Benchmark Name,Type,GPT4o_iter,Gemini_iter,LLaMA_iter,Claude_iter,Perplexity_iter,GPT4o_tokens,Gemini_tokens,LLaMA_tokens,Claude_tokens,Perplexity_tokens,GPT4o_time,Gemini_time,LLaMA_time,Claude_time,Perplexity_time
Tank_Level_Control,safety,2,2.0,2.0,2.0,2.0,851,8001.0,870.0,1143.0,845.0,2.94,37.64,1.22,9.09,6.31
Automated_Gate_System,unknown,Timeout,,,,,14750,,,,,44.69,,,,
Baggage_Handling_System,unknown,6,,,,,4921,,,,,14.86,,,,
Chemical_Reactor_Controller,testsafety,2,2.0,2.0,2.0,2.0,733,5455.0,773.0,1050.0,733.0,4.61,35.6,2.35,7.55,5.3
Chemical_Reactor_Controller,unknown,ERROR: No valid code block found.,,,,,714,,,,,24.36,,,,
Crane_Automation,unknown,ERROR: SFC loading failed: Error parsing SFC file '/home/tanush/BITS/SOP/Antarbhukti-LLM/uploads/new/Crane_,,,,,0,,,,,0.0,,,,
Conveyor_System_Controller_SFC2,unknown,1,,,,,0,,,,,0.0,,,,
Conveyor_System_Controller,unknown,2,2.0,7.0,2.0,2.0,979,9695.0,6656.0,1325.0,949.0,3.16,47.75,13.71,8.25,31.15
Boiler_Control,unknown,1,,,,,0,,,,,0.0,,,,
Fuel_Dispenser_Logic,unknown,1,,,,,0,,,,,0.0,,,,
Elevator_Controller,unknown,2,,,,,1090,,,,,10.04,,,,
Greenhouse_Monitoring_System,testsafety,3,ERROR: No valid code block found.,2.0,2.0,2.0,1594,0.0,820.0,1112.0,783.0,8.15,0.74,2.77,5.7,4.03
Lift_Control_System,safety,2,ERROR: No valid code block found.,2,2.0,ERROR: No valid code block found.,1032,0.0,1056.0,1522.0,0.0,3.16,0.27,1.05,6.17,0.32
HVAC_System,safety,3,ERROR: No valid code block found.,3,2.0,2.0,3621,0.0,3914.0,2691.0,1692.0,12.29,0.32,5.31,11.04,6.09
